field_1,latitude,longitude
"408239",27.1625003814697,80.9200744628906
"409437",27.154167175293,80.8953094482422
"409438",27.154167175293,80.904670715332
"409439",27.154167175293,80.9140396118164
"409440",27.154167175293,80.9234008789063
"409441",27.154167175293,80.9327697753906
"410637",27.1458339691162,80.889274597168
"410638",27.1458339691162,80.8986358642578
"410639",27.1458339691162,80.9080047607422
"410640",27.1458339691162,80.917366027832
"410641",27.1458339691162,80.9267349243164
"410642",27.1458339691162,80.9360961914063
"410644",27.1458339691162,80.9548263549805
"410645",27.1458339691162,80.9641952514648
"410646",27.1458339691162,80.9735565185547
"410648",27.1458339691162,80.9922866821289
"410649",27.1458339691162,81.0016479492188
"411838",27.1375007629395,80.8926086425781
"411839",27.1375007629395,80.901969909668
"411840",27.1375007629395,80.9113311767578
"411841",27.1375007629395,80.9207000732422
"411842",27.1375007629395,80.930061340332
"411843",27.1375007629395,80.9394302368164
"411844",27.1375007629395,80.9487915039063
"411845",27.1375007629395,80.9581527709961
"411846",27.1375007629395,80.9675216674805
"411847",27.1375007629395,80.9768829345703
"411848",27.1375007629395,80.9862518310547
"411849",27.1375007629395,80.9956130981445
"411850",27.1375007629395,81.0049743652344
"413035",27.1291675567627,80.8584899902344
"413036",27.1291675567627,80.8678512573242
"413037",27.1291675567627,80.8772125244141
"413038",27.1291675567627,80.8865737915039
"413039",27.1291675567627,80.8959426879883
"413040",27.1291675567627,80.9053039550781
"413041",27.1291675567627,80.914665222168
"413042",27.1291675567627,80.9240341186523
"413043",27.1291675567627,80.9333953857422
"413044",27.1291675567627,80.942756652832
"413045",27.1291675567627,80.9521179199219
"413046",27.1291675567627,80.9614868164063
"413047",27.1291675567627,80.9708480834961
"413048",27.1291675567627,80.9802093505859
"413049",27.1291675567627,80.9895782470703
"413050",27.1291675567627,80.9989395141602
"413051",27.1291675567627,81.00830078125
"414234",27.1208324432373,80.8431015014648
"414235",27.1208324432373,80.8524627685547
"414236",27.1208324432373,80.8618240356445
"414237",27.1208324432373,80.8711853027344
"414238",27.1208324432373,80.8805541992188
"414239",27.1208324432373,80.8899154663086
"414240",27.1208324432373,80.8992767333984
"414241",27.1208324432373,80.9086380004883
"414242",27.1208324432373,80.9179992675781
"414243",27.1208324432373,80.9273681640625
"414244",27.1208324432373,80.9367294311523
"414245",27.1208324432373,80.9460906982422
"414246",27.1208324432373,80.955451965332
"414247",27.1208324432373,80.9648132324219
"414248",27.1208324432373,80.9741821289063
"414249",27.1208324432373,80.9835433959961
"414250",27.1208324432373,80.9929046630859
"414251",27.1208324432373,81.0022659301758
"414252",27.1208324432373,81.0116271972656
"415428",27.1124992370605,80.7809066772461
"415434",27.1124992370605,80.8370819091797
"415435",27.1124992370605,80.8464431762695
"415436",27.1124992370605,80.8558044433594
"415437",27.1124992370605,80.8651657104492
"415438",27.1124992370605,80.8745269775391
"415439",27.1124992370605,80.8838882446289
"415440",27.1124992370605,80.8932495117188
"415441",27.1124992370605,80.9026107788086
"415442",27.1124992370605,80.9119720458984
"415443",27.1124992370605,80.9213409423828
"415444",27.1124992370605,80.9307022094727
"415445",27.1124992370605,80.9400634765625
"415446",27.1124992370605,80.9494247436523
"415447",27.1124992370605,80.9587860107422
"415448",27.1124992370605,80.968147277832
"415449",27.1124992370605,80.9775085449219
"415450",27.1124992370605,80.9868698120117
"415451",27.1124992370605,80.9962310791016
"415452",27.1124992370605,81.0055999755859
"415453",27.1124992370605,81.0149612426758
"416623",27.1041660308838,80.7280807495117
"416624",27.1041660308838,80.7374496459961
"416625",27.1041660308838,80.7468109130859
"416627",27.1041660308838,80.7655334472656
"416628",27.1041660308838,80.7748947143555
"416629",27.1041660308838,80.7842559814453
"416630",27.1041660308838,80.7936172485352
"416631",27.1041660308838,80.802978515625
"416632",27.1041660308838,80.8123397827148
"416633",27.1041660308838,80.8217010498047
"416634",27.1041660308838,80.8310623168945
"416635",27.1041660308838,80.8404235839844
"416636",27.1041660308838,80.8497848510742
"416637",27.1041660308838,80.8591461181641
"416638",27.1041660308838,80.8685073852539
"416639",27.1041660308838,80.8778686523438
"416640",27.1041660308838,80.8872299194336
"416641",27.1041660308838,80.8965911865234
"416642",27.1041660308838,80.9059524536133
"416643",27.1041660308838,80.9153137207031
"416644",27.1041660308838,80.924674987793
"416645",27.1041660308838,80.9340362548828
"416646",27.1041660308838,80.9433975219727
"416647",27.1041660308838,80.9527587890625
"416648",27.1041660308838,80.9621200561523
"416649",27.1041660308838,80.9714813232422
"416650",27.1041660308838,80.980842590332
"416651",27.1041660308838,80.9902038574219
"416652",27.1041660308838,80.9995651245117
"416653",27.1041660308838,81.0089263916016
